"id";"oil_field";"tag_key";"tag_value";"last_update";"last_actual_update";"description";"note";"status"
"3456";"NRG";"NJ_3s_last_skv";"245";"2022-05-15 22:27:25";"2022-05-15 16:23:36";"ГЗУ3";"Скважина";"A"
"3457";"NRG";"NJ_6a_TIT_LIQ";"-17.125";"2022-05-15 22:27:25";"2022-05-15 17:35:24";"ГЗУ6а";"Температура Жидкости";"A"
"3458";"NRG";"NJ_6a_PIT_KOLL";"7.11735725403";"2022-05-15 22:27:25";"2022-05-15 17:35:55";"ГЗУ6а";"Давление в коллекторе";"A"
"3459";"NRG";"NJ_6a_CURRENT_TIME";"106";"2022-05-15 22:27:25";"2022-05-15 17:35:17";"ГЗУ6а";"Пройденное время";"A"
"3460";"NRG";"NJ_6a_Tekuwi_Otvod";"13";"2022-05-15 22:27:25";"2022-05-15 15:34:01";"ГЗУ6а";"Текущий отвод на замере";"A"
"3461";"NRG";"NJ_6a_last_Qv";"0.0";"2022-05-15 22:27:25";"2022-05-15 15:33:17";"ГЗУ6а";"Дебет жидкости объемный";"A"
"3462";"NRG";"NJ_6a_last_skv";"541";"2022-05-15 22:27:25";"2022-05-15 15:33:17";"ГЗУ6а";"Скважина";"A"
"3463";"NRG";"NJ_4m_TIT_LIQ";"18.75";"2022-05-15 22:27:25";"2022-05-15 17:29:51";"ГЗУ4м";"Температура Жидкости";"A"
"3464";"NRG";"NJ_4m_PIT_KOLL";"0.475970864296";"2022-05-15 22:27:25";"2022-05-15 17:35:56";"ГЗУ4м";"Давление в коллекторе";"A"
"3465";"NRG";"NJ_4m_CURRENT_TIME";"22";"2022-05-15 22:27:26";"2022-05-15 17:35:46";"ГЗУ4м";"Пройденное время";"A"
"3466";"NRG";"NJ_4m_Tekuwi_Otvod";"2";"2022-05-15 22:27:26";"2022-05-15 17:04:07";"ГЗУ4м";"Текущий отвод на замере";"A"
"3467";"NRG";"NJ_4m_last_Qv";"16.125";"2022-05-15 22:27:26";"2022-05-15 17:03:45";"ГЗУ4м";"Дебет жидкости объемный";"A"
"3468";"NRG";"NJ_4m_last_skv";"708";"2022-05-15 22:27:26";"2022-05-15 17:03:45";"ГЗУ4м";"Скважина";"A"
"3469";"NRG";"NJ_5m_TIT_LIQ";"22.125";"2022-05-15 22:27:26";"2022-05-15 17:34:15";"ГЗУ5м";"Температура Жидкости";"A"
"3470";"NRG";"NJ_5m_PIT_KOLL";"0.494596362114";"2022-05-15 22:27:26";"2022-05-15 17:35:51";"ГЗУ5м";"Давление в коллекторе";"A"
"3471";"NRG";"NJ_5m_CURRENT_TIME";"149";"2022-05-15 22:27:26";"2022-05-15 17:35:55";"ГЗУ5м";"Пройденное время";"A"
"3472";"NRG";"NJ_5m_Tekuwi_Otvod";"6";"2022-05-15 22:27:26";"2022-05-15 15:05:55";"ГЗУ5м";"Текущий отвод на замере";"A"
"3473";"NRG";"NJ_5m_last_Qv";"22.75";"2022-05-15 22:27:26";"2022-05-15 15:00:55";"ГЗУ5м";"Дебет жидкости объемный";"A"
"3474";"NRG";"NJ_5m_last_skv";"405";"2022-05-15 22:27:26";"2022-05-15 15:00:54";"ГЗУ5м";"Скважина";"A"
"3505";"DMB";"DbP_103_DOS.Value";"0.813330054283";"2022-05-15 22:26:17";"2022-05-15 17:25:07";"НГС-1


";"Давление в НГС
";"A"
"3506";"DMB";"DbP_104_DOS.Value";"21.0064620972";"2022-05-15 22:26:17";"2022-05-15 17:25:07";"НГС-1


";"Температура в НГС
";"A"
"3507";"DMB";"DbP_109_DOS.Value";"31.6987361908";"2022-05-15 22:26:17";"2022-05-15 17:25:07";"НГС-1


";"Общий уровень НГС
";"A"
"3508";"DMB";"DbP_106_DOS.Value";"2.66205310822";"2022-05-15 22:26:17";"2022-05-15 17:25:04";"НГС-2
";"Давление в НГС
";"A"
"3509";"DMB";"DbP_107_DOS.Value";"-18.549659729";"2022-05-15 22:26:17";"2022-05-15 17:25:07";"НГС-2
";"Температура в НГС
";"A"
"3510";"DMB";"DbP_110_DOS.Value";"22.3952140808";"2022-05-15 22:26:17";"2022-05-15 17:25:07";"НГС-2
";"Общий уровень НГС
";"A"
"3511";"DMB";"DbP_113_DOS.Value";"2.81106257439";"2022-05-15 22:26:17";"2022-05-15 17:25:06";"ГС
";"Давление в ГС
";"A"
"3512";"DMB";"DbP_101_DOS.Value";"16.0250682831";"2022-05-15 22:26:17";"2022-05-15 17:25:07";"РВС-1
";"Ощий уровень жидкости
";"A"
"3513";"DMB";"RVS_2PV";"315.008178711";"2022-05-15 22:26:17";"2022-05-15 17:25:04";"РВС-2
";"Ощий уровень жидкости
";"A"
